instance,family,strategy,feasible,vehicle_count,total_distance,total_waiting,total_load,capacity_vehicle_lower_bound,vehicle_excess_over_capacity_lb,duplicate_customers,missing_customers,infeasible_routes,runtime_seconds,new_routes_created
R1_10_4,R1,earliest_ready,True,99,108956.98605161578,20488.258430042944,18118.0,91,8,0,0,0,7.669986200053245,99
R1_10_4,R1,largest_demand,True,98,127296.42891784706,23947.47840238371,18118.0,91,7,0,0,0,6.950684299925342,98
R1_10_4,R1,farthest_from_depot,True,97,93459.98002691568,42015.03371077368,18118.0,91,6,0,0,0,5.602459599962458,97
R1_10_5,R1,earliest_due,True,108,84321.52766076034,59910.68851317417,18118.0,91,17,0,0,0,6.168974699918181,108
R1_10_5,R1,earliest_ready,True,108,84321.52766076034,59910.68851317417,18118.0,91,17,0,0,0,9.954771499964409,108
R1_10_5,R1,largest_demand,True,111,115206.71317357064,52001.977030831375,18118.0,91,20,0,0,0,6.190267300000414,111
R1_10_5,R1,farthest_from_depot,True,98,78553.8686105532,69706.4096397545,18118.0,91,7,0,0,0,5.428008900023997,98
R1_10_6,R1,earliest_due,True,92,80978.25417051201,40944.076077107726,18118.0,91,1,0,0,0,5.178848100011237,92
R1_10_6,R1,earliest_ready,True,109,96351.5704582974,53892.219715691375,18118.0,91,18,0,0,0,4.897590900072828,109
R1_10_6,R1,largest_demand,True,105,110393.7523497578,48058.75858783976,18118.0,91,14,0,0,0,4.747619800036773,105
R1_10_6,R1,farthest_from_depot,True,97,80258.27535029798,63735.90818233623,18118.0,91,6,0,0,0,4.288525499985553,97
R1_10_7,R1,earliest_due,True,92,90344.26051025598,27396.178498663165,18118.0,91,1,0,0,0,5.122352099977434,92
R1_10_7,R1,earliest_ready,True,103,101255.0300842986,37608.536047648624,18118.0,91,12,0,0,0,5.117707199999131,103
R1_10_7,R1,largest_demand,True,101,109943.13673173144,38689.36365235502,18118.0,91,10,0,0,0,4.947890599956736,101
R1_10_7,R1,farthest_from_depot,True,95,82560.83051387544,55074.42825942123,18118.0,91,4,0,0,0,4.9030166999436915,95
R1_10_8,R1,earliest_due,True,92,102945.79939289224,11660.903793874444,18118.0,91,1,0,0,0,5.856114199967124,92
R1_10_8,R1,earliest_ready,True,96,107476.37399930459,14953.454231444777,18118.0,91,5,0,0,0,4.595215999986976,96
R1_10_8,R1,largest_demand,True,97,126373.47319525665,25180.22640464711,18118.0,91,6,0,0,0,4.317316000000574,97
R1_10_8,R1,farthest_from_depot,True,94,97712.99737766807,36753.46606088564,18118.0,91,3,0,0,0,4.839202299946919,94
R1_10_9,R1,earliest_due,True,103,80694.62086748963,50857.60919800681,18118.0,91,12,0,0,0,6.073637599940412,103
R1_10_9,R1,earliest_ready,True,109,86076.32493919811,59730.80477062671,18118.0,91,18,0,0,0,6.012099500047043,109
R1_10_9,R1,largest_demand,True,106,117619.72657126638,42184.196080710426,18118.0,91,15,0,0,0,5.3560414999956265,106
R1_10_9,R1,farthest_from_depot,True,96,84207.39504030974,61755.24428316919,18118.0,91,5,0,0,0,4.15086319996044,96
R1_10_10,R1,earliest_due,True,99,83923.50744608192,42902.473087852006,18118.0,91,8,0,0,0,4.699459800031036,99
R1_10_10,R1,earliest_ready,True,99,83726.0389693345,42547.139214821516,18118.0,91,8,0,0,0,4.7958427000558,99
R1_10_10,R1,largest_demand,True,102,120204.64504775945,30548.306889123825,18118.0,91,11,0,0,0,4.382048900006339,102
R1_10_10,R1,farthest_from_depot,True,94,94264.83464508915,45408.591531098544,18118.0,91,3,0,0,0,4.146699799923226,94
R2_10_1,R2,earliest_due,True,20,74918.61261998814,42198.46767493134,18118.0,19,1,0,0,0,4.390518500003964,20
R2_10_1,R2,earliest_ready,True,22,75115.75202844283,51846.4781333919,18118.0,19,3,0,0,0,4.341464199940674,22
R2_10_1,R2,largest_demand,True,28,95083.64498064142,74171.08213347253,18118.0,19,9,0,0,0,3.5721458999905735,28
R2_10_1,R2,farthest_from_depot,True,22,69225.31751927636,67287.1937957502,18118.0,19,3,0,0,0,3.6118689000140876,22
R2_10_2,R2,earliest_due,True,19,62327.56990962845,39617.13719435898,18118.0,19,0,0,0,0,3.7838536000344902,19
R2_10_2,R2,earliest_ready,True,23,68294.7830169726,55116.70392829919,18118.0,19,4,0,0,0,3.362690400099382,23
R2_10_2,R2,largest_demand,True,27,83461.38408250455,77907.65910684175,18118.0,19,8,0,0,0,3.2921019999776036,27
R2_10_2,R2,farthest_from_depot,True,20,56182.53427185269,65215.76605779486,18118.0,19,1,0,0,0,3.671000299975276,20
